chainlength	davareTime	duerrReactionTime	duerrAgeTime	klodaTime	gunzelReactionTime	gunzelAgeTime	deltaBoundTime	DBAgeTime	multi_gunzelReactionTime	deltaBound	inter_gunzelReaction
16	0.0	0.0	0	0	0	0	0.0	0	0.20321893692016602	26131047491	24922020397.0
20	0.0	0.0	0	0	0	0	0.0	0	2.0013625621795654	4926619231	3231176431.0
21	0.0	0.0	0	0	0	0	0.0007793903350830078	0	1.0985252857208252	23222165280	19709793280.0
25	0.0	0.0	0	0	0	0	0.0	0	0.1755046844482422	9231599852	7558322224.0
19	0.0	0.0	0	0	0	0	0.0	0	1.0113930702209473	5276058901	3726145712.0
18	0.0	0.0	0	0	0	0	0.0	0	1.4798121452331543	2150552554	2036065492.0
20	0.0	0.0	0	0	0	0	0.0	0	0.030017614364624023	32958065060	30337916587.0
14	0.0	0.0	0	0	0	0	0.0	0	3.148885726928711	402553669	414939086.0
12	0.0	0.0	0	0	0	0	0.0	0	1.529893398284912	16849335910	16398586124.0
18	0.0	0.0	0	0	0	0	0.0	0	2.4323537349700928	39250432422	37607543677.0
11	0.0	0.0	0	0	0	0	0.0	0	0.03663349151611328	24214058945	23430686980.0
12	0.0	0.0	0	0	0	0	0.0	0	0.5093212127685547	3365763522	2926191399.0
23	0.0	0.0	0	0	0	0	0.0	0	0.1902613639831543	31408065060	28142719118.0
21	0.0	0.0	0	0	0	0	0.0	0	0.588026762008667	11070445362	8340945273.0
12	0.0	0.0	0	0	0	0	0.0	0	0.5814909934997559	14271103033	13604798774.0
25	0.0	0.0	0	0	0	0	0.0	0	2.472346782684326	11583696482	10914172615.0
9	0.0	0.0	0	0	0	0	0.0	0	1.6762068271636963	389409798	337789800.0
13	0.0	0.0	0	0	0	0	0.0	0	0.41030192375183105	7221596092	7022297289.0
19	0.0	0.0	0	0	0	0	0.0	0	1.6094639301300049	21361103033	18447719907.0
15	0.0	0.0	0	0	0	0	0.0	0	1.1314184665679932	13930322295	13540305499.0
21	0.0	0.0	0	0	0	0	0.0	0	2.4459333419799805	34747535134	33527571920.0
12	0.0	0.0	0	0	0	0	0.0	0	2.3253936767578125	21976671362	21123632107.0
12	0.0	0.0	0	0	0	0	0.0	0	0.5950479507446289	32089607442	30107998419.0
17	0.0	0.0	0	0	0	0	0.0	0	0.701927661895752	18000077095	17288373938.0
13	0.0	0.0	0	0	0	0	0.001043558120727539	0	1.6981379985809326	6821409754	6606687088.0
18	0.0	0.0	0	0	0	0	0.0	0	0.20825624465942383	2459364655	2169812503.0
15	0.0	0.0	0	0	0	0	0.0	0	2.0868539810180664	13875859756	13632284259.0
16	0.0	0.0	0	0	0	0	0.0	0	0.6335840225219727	11205405779	10714391399.0
