chainlength	davareTime	duerrReactionTime	duerrAgeTime	klodaTime	gunzelReactionTime	gunzelAgeTime	deltaBoundTime	DBAgeTime
4	0.0	0.0	0	0	0.017613649368286133	0.08003950119018555	0.0	0
7	0.0	0.0	0	0	0.646594762802124	0.03000020980834961	0.0	0
8	0.0	0.0	0	0	0.00650334358215332	0.04205775260925293	0.0	0
6	0.0	0.0	0	0	0.027989864349365234	0.40389466285705566	0.0	0
2	0.0	0.0	0	0	0.00501704216003418	0.020006418228149414	0.0	0
5	0.0	0.0	0	0	0.9802508354187012	10.949743747711182	0.0	0
2	0.0	0.0	0	0	0.3613567352294922	3.570352792739868	0.0	0
3	0.0	0.0	0	0	0.0	0.00103759765625	0.0	0
7	0.0	0.0	0	0	2.4273054599761963	15.164598226547241	0.0	0
2	0.0	0.0	0	0	0.002033233642578125	0.011048555374145508	0.0	0
8	0.0	0.0	0	0	0.0010259151458740234	0.06096029281616211	0.0	0
6	0.0009999275207519531	0.0	0	0	0.04594874382019043	0.22983026504516602	0.0	0
6	0.0	0.0	0	0	0.010051488876342773	0.052973031997680664	0.0	0
3	0.0	0.0	0	0	0.03429007530212402	0.19575810432434082	0.0	0
4	0.0	0.0	0	0	0.014565229415893555	0.0790395736694336	0.0	0
3	0.0	0.0	0	0	0.8911819458007812	6.51672101020813	0.0	0
2	0.0	0.0	0	0	0.46822524070739746	3.890824794769287	0.0	0
2	0.0	0.0	0	0	0.019000530242919922	0.1065206527709961	0.0	0
2	0.0	0.0	0	0	0.5910289287567139	3.7426533699035645	0.0	0
3	0.0	0.0	0	0	1.0611603260040283	7.500219345092773	0.0	0
10	0.0	0.0	0	0	0.016048669815063477	0.14094805717468262	0.0	0
3	0.0	0.0	0	0	0.0	0.0009539127349853516	0.0	0
3	0.0	0.0	0	0	0.004544734954833984	0.031044483184814453	0.0	0
5	0.0	0.0	0	0	0.005048274993896484	0.025003433227539062	0.0	0
3	0.0	0.0	0	0	0.0029964447021484375	0.021957874298095703	0.0	0
6	0.0	0.0	0	0	0.014692544937133789	6.852664232254028	0.0	0
2	0.0	0.0	0	0	0.0020508766174316406	0.008048534393310547	0.0	0
2	0.0	0.0	0	0	0.0	0.0	0.0	0
4	0.0	0.0	0	0	0.014003753662109375	0.08625459671020508	0.0	0
10	0.0	0.0	0	0	0.10056424140930176	0.2912452220916748	0.0	0
4	0.0	0.0	0	0	1.524876356124878	10.355963706970215	0.0	0
2	0.0	0.0	0	0	0.0	0.0	0.0	0
7	0.0	0.0	0	0	0.002048969268798828	0.01604008674621582	0.0	0
2	0.0	0.0	0	0	0.0010027885437011719	0.0029649734497070312	0.0	0
3	0.0	0.0	0	0	0.0	0.0009951591491699219	0.0	0
3	0.0	0.0	0	0	0.0010018348693847656	0.0	0.0	0
2	0.0	0.0	0	0	0.016998291015625	0.11852335929870605	0.0	0
3	0.0	0.0	0	0	0.0010008811950683594	0.0	0.0	0
4	0.0	0.0	0	0	0.0009996891021728516	0.005002021789550781	0.0	0
2	0.0	0.0	0	0	0.1731867790222168	1.065079927444458	0.0	0
10	0.0	0.0	0	0	0.2012956142425537	12.470762014389038	0.0	0
4	0.0	0.0	0	0	1.43320894241333	8.929652452468872	0.0	0
8	0.0	0.0	0	0	0.0020294189453125	0.009519100189208984	0.0	0
3	0.0	0.0	0	0	0.0	0.0	0.0	0
2	0.0	0.0	0	0	0.0009987354278564453	0.0	0.0	0
3	0.0	0.0	0	0	0.03401446342468262	0.21378731727600098	0.0	0
5	0.0	0.0	0	0	0.0020422935485839844	0.2423403263092041	0.0	0
4	0.0	0.0	0	0	0.0	0.0009582042694091797	0.0	0
3	0.0	0.0	0	0	0.0	0.0	0.0	0
6	0.0	0.0	0	0	0.0009653568267822266	0.0010349750518798828	0.0	0
