chainlength	davareTime	duerrReactionTime	duerrAgeTime	klodaTime	gunzelReactionTime	gunzelAgeTime	deltaBoundTime	DBAgeTime
4	0.0	0.0	0	0.004508018493652344	0.24437975883483887	2.122140407562256	0.0	0.0
2	0.0	0.0	0	0.005036830902099609	0.3279726505279541	3.032538890838623	0.0	0.0
5	0.0	0.0	0	0.00099945068359375	0.0009987354278564453	0.0009992122650146484	0.0	0.0
2	0.0	0.0	0	0.0	0.0010037422180175781	0.0	0.0	0.0
5	0.0	0.0	0	0.01094675064086914	1.2302582263946533	11.942163467407227	0.0	0.0
2	0.0	0.0	0	0.0	0.0009658336639404297	0.0010371208190917969	0.0	0.0
7	0.0	0.0	0	0.0	0.0039825439453125	2.303656578063965	0.0	0.0
6	0.0	0.0	0	0.0	0.0009629726409912109	0.0010349750518798828	0.0	0.0
8	0.0	0.0009505748748779297	0	0.0	0.0	0.003037691116333008	0.0	0.0
7	0.0	0.0	0	0.0009644031524658203	0.001981019973754883	0.04211306571960449	0.0	0.0
4	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	0	0.0	0.0009982585906982422	0.0	0.0	0.0
11	0.0	0.0	0	0.0010025501251220703	0.01594710350036621	9.816990613937378	0.0	0.0
2	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
10	0.0	0.0	0	0.005003452301025391	0.054288387298583984	0.3979465961456299	0.0	0.0
8	0.0	0.0	0	0.00099945068359375	0.0019664764404296875	0.009035825729370117	0.0	0.0
4	0.0	0.0	0	0.009052753448486328	0.9188177585601807	9.397928953170776	0.0	0.0
2	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0	0.010047435760498047	0.9795176982879639	8.868344068527222	0.0	0.0
3	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0	0.0040514469146728516	0.32585930824279785	3.0521621704101562	0.0	0.0
2	0.0	0.0	0	0.007050514221191406	0.3249495029449463	3.0923774242401123	0.0	0.0
3	0.0	0.0	0	0.00394749641418457	0.16474437713623047	1.427830457687378	0.0	0.0
5	0.0	0.0	0	0.0	0.04494953155517578	5.872790336608887	0.0	0.0
10	0.0	0.0	0	0.002000093460083008	0.05409526824951172	0.49503111839294434	0.0009949207305908203	0.0
5	0.0	0.0	0	0.0009465217590332031	0.017110824584960938	0.18590450286865234	0.0	0.0
4	0.0	0.0	0	0.0010018348693847656	0.003998279571533203	0.026948213577270508	0.0	0.0
8	0.0	0.0	0	0.0	0.0009996891021728516	0.0010001659393310547	0.0	0.0
2	0.0	0.0	0	0.003049135208129883	0.31739020347595215	3.022416353225708	0.0	0.0
2	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0	0.0	0.0010039806365966797	0.0	0.0	0.0
2	0.0	0.0	0	0.0	0.0	0.0010001659393310547	0.0	0.0
3	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0	0.002000570297241211	0.032616615295410156	0.22087955474853516	0.0	0.0
4	0.0	0.0	0	0.0	0.005994081497192383	2.7364730834960938	0.0	0.0
7	0.0	0.0	0	0.0	0.0020003318786621094	0.004997730255126953	0.0	0.0
4	0.0	0.0	0	0.009998083114624023	0.958179235458374	8.791871547698975	0.0	0.0
6	0.0	0.0	0	0.013016700744628906	0.6837167739868164	0.18828344345092773	0.0	0.0
2	0.0	0.0	0	0.00299072265625	0.09235787391662598	0.7504339218139648	0.0	0.0
2	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0	0.0	0.027001142501831055	1.4618256092071533	0.0	0.0
2	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0	0.0009980201721191406	0.019951581954956055	0.1842341423034668	0.0	0.0
2	0.0	0.0	0	0.0	0.0019989013671875	0.006995201110839844	0.0	0.0
3	0.0	0.0	0	0.0	0.0	0.0009961128234863281	0.0	0.0
5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
